feat,ret,n_days,n_obs,ic_mean,ic_std,ir,hit_rate,ic_p5,ic_p95,pillar,verdict
fund_revenue_sq,fwd_ret_20,436,778841,0.016358284294236282,0.06926163460372865,0.23618103135780807,0.6169724770642202,-0.10671660185177267,0.12558726204768128,fund,STRONG
fund_cost_of_revenue_sq,fwd_ret_20,436,777848,0.014559227056764127,0.06858211175855276,0.21228898736773688,0.5802752293577982,-0.11028571076785136,0.12640656396958527,fund,WEAK
fund_gross_margin_sq,fwd_ret_20,436,777661,0.00774588021984782,0.06331164471838437,0.12234526925184395,0.5275229357798165,-0.09271258414023922,0.10961465115583544,fund,WEAK
fund_debt_equity,fwd_ret_20,436,791548,0.005062828927958157,0.061771396919241876,0.08196073232044844,0.5275229357798165,-0.09885486150571457,0.12291012259952798,fund,WEAK
fund_ebitda_margin,fwd_ret_20,436,778377,0.0034352998110076995,0.07137715892891859,0.04812883928917324,0.5412844036697247,-0.1170166991096353,0.11950788070513646,fund,REJECT
fund_ebitda,fwd_ret_20,436,779398,0.002976529788526974,0.06506796218172206,0.04574493635153518,0.518348623853211,-0.10665737638766233,0.11105537294331946,fund,REJECT
fund_current_ratio,fwd_ret_20,436,795897,0.0013501173121632294,0.0516772686319927,0.02612594179034048,0.5527522935779816,-0.09993589836054113,0.07876321481823417,fund,REJECT
fund_revenue_yoy,fwd_ret_20,192,337499,-0.030432213014618292,0.03895928422331685,-0.7811286480567534,0.78125,-0.08961273536068892,0.0339845001518936,fund,STRONG
fund_net_income_sq,fwd_ret_5,451,819745,0.03775396064846073,0.07703244071372518,0.49010469223953795,0.6940133037694013,-0.089301178356711,0.16549361973654986,fund,STRONG
fund_nopat,fwd_ret_5,451,807151,0.03768715083309063,0.07704212654068218,0.48917589019547486,0.6940133037694013,-0.08458447503266264,0.16378887945424098,fund,STRONG
fund_operating_income_sq,fwd_ret_5,451,807151,0.03729611007282313,0.07690145957389809,0.484985724321443,0.6873614190687362,-0.08684137032642059,0.1623678642214444,fund,STRONG
fund_total_comprehensive_income_sq,fwd_ret_5,451,819745,0.03260623748471422,0.07098546199799313,0.4593368355570617,0.6585365853658537,-0.07841294955426872,0.1523430879796881,fund,STRONG
fund_net_margin_sq,fwd_ret_5,451,806363,0.029156131253437394,0.061652862794461444,0.4729079872679752,0.6784922394678492,-0.0701962664485299,0.1375007992987637,fund,STRONG
fund_operating_margin_sq,fwd_ret_5,451,806363,0.02884575800635651,0.06832936745093873,0.4221575448809488,0.656319290465632,-0.07294473509515778,0.14219808640338194,fund,STRONG
fund_roic,fwd_ret_5,451,125620,0.02802424725308202,0.10621126367092407,0.26385381629494553,0.5986696230598669,-0.14175196555773828,0.19056370631852634,fund,STRONG
fund_roa,fwd_ret_5,451,819684,0.02535603898703452,0.0587285478609724,0.43174980329940493,0.6718403547671841,-0.07567286187854319,0.12289358006751713,fund,STRONG
fund_roe,fwd_ret_5,451,819684,0.02534469308572174,0.05874177988084409,0.43145939971741876,0.6674057649667405,-0.07575634588415014,0.1233959250881457,fund,STRONG
fund_eps,fwd_ret_5,451,656843,0.023996362103656545,0.0825888097044556,0.29055222117291224,0.5920177383592018,-0.1137295960286198,0.16702732460812664,fund,STRONG
fund_revenue_sq,fwd_ret_5,451,806579,0.020940817770702603,0.07425902477131957,0.2819969402397861,0.614190687361419,-0.10867172992964177,0.14201858212925086,fund,STRONG
fund_cost_of_revenue_sq,fwd_ret_5,451,805556,0.01884631666670086,0.07299908564115513,0.2581719551850901,0.6319290465631929,-0.10928307092447784,0.13614959209495497,fund,STRONG
